lat-long,fsq_id,cat_id,category_name,categories,name,address,city,country,popularity,rating
"43.6352007,-79.4187711",55549f8c498e2fc8733c6d14,13006,Beer Bar,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Craft Brasserie & Grille,"107 Atlantic Ave (@ Snooker), Toronto ON M6K 1Y2",Toronto,CA,0.95962876743626,7.4
"43.6352007,-79.4187711",4ad7cfdaf964a520fb0e21e3,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13051, 'name': 'Fish and Chips Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fishandchips_', 'suffix': '.png'}}, {'id': 13297, 'name': 'Latin American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/latinamerican_', 'suffix': '.png'}}]",Brazen Head Irish Pub,"165 E. Liberty St (at Lynn Williams St.), Toronto ON M6K 3K4",Toronto,CA,0.9591039043637734,6.4
"43.6352007,-79.4187711",55fe3af5498edd651ce3c385,13016,Lounge,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Apt 200,"1034 Queen St W, Toronto ON M6J 1H7",Toronto,CA,0.9548062020290589,8.4
"43.6352007,-79.4187711",583c921702b60e012fae6e7b,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Liberty Commons at Big Rock Brewery,"42 Liberty St (at Atlantic), Toronto ON M6K 0C4",Toronto,CA,0.9515582258393178,7.6
"43.6352007,-79.4187711",5d6c625b92ab4500087abc20,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",Bar Poet,"1090 Queen St W (Dovercourt Road), Toronto ON M6J 1H8",Toronto,CA,0.9439507987180992,8.8
"43.6352007,-79.4187711",5d5cb7612b16490008e66d8f,13025,Wine Bar,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Bar Piquette,"1084 Queen St W, Toronto ON M6J 1H8",Toronto,CA,0.9361828252452963,7.8
"43.6352007,-79.4187711",5dd5a43adf4aaf0008933a23,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",Corks Beer & Wine Bar,"1100 King St W, Toronto ON M6K 0C6",Toronto,CA,0.9237281332781713,
"43.6352007,-79.4187711",539a728d498e606f9b325dee,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Good Son,"1096 Queen St W, Toronto ON M6J 1H9",Toronto,CA,0.9237096086991423,7.1
"43.6352007,-79.4187711",4b8c4174f964a520d8c632e3,10000,Arts and Entertainment,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",LG Fashion Week Beauty by l'Oréal Paris,"105 Princes' Blvd (btw Strachan Ave & Ontario Pl Blvd), Toronto ON M6K 3C3",Toronto,CA,0.9137557349009243,
"43.6352007,-79.4187711",5d0d4159733dc40023c175de,13016,Lounge,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",Skyline Lounge,"Budweiser Stage (909 Lakeshore Blvd), Toronto ON M6K 3L3",Toronto,CA,0.9136322377073981,
